experiment,folder,target_id,target_label,assembly,kind,length,msa_depth,msa_raw_depth,msa_csv,config,sampling_steps,diffusion_samples,max_parallel_samples,recycling_steps,sampling_steps_affinity,diffusion_samples_affinity,sample_rank,status,confidence_score,complex_plddt,ptm,iptm,ligand_iptm,protein_iptm,complex_iplddt,complex_pde,complex_ipde,affinity_pred_value,affinity_probability_binary,structure_path,confidence_json,affinity_json,note
trix_s40_n6_p2_r5,40,6,2,5,,,4,ok,0.8914346098899841,0.9023290276527405,0.8478566408157349,0.0,0.0,0.0,0.9023290276527405,0.4921186864376068,0.0,,,runs/emma_eve_gag_matrix_s40_n6_p2_r5/gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo/boltz_results_gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo/predictions/gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo/gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo_model_4.cif,runs/emma_eve_gag_matrix_s40_n6_p2_r5/gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo/boltz_results_gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo/predictions/gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo/confidence_gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo_model_4.json,,runs/emma_eve_gag_matrix_s40_n6_p2_r5/inputs/gag_001_dba62694_1_dba62694_1_tpa_asm_gag_marsupial_endo.fasta,,,,,,,,,,
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,california_h5_a23_ha_trimer_3lig,california_h5_a23_ha_trimer_3lig,HA trimer + 3 ligands,H5,1485,1235,1242,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_a23_ha_trimer_3lig/boltz_results_california_h5_a23_ha_trimer_3lig/msa/california_h5_a23_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.8949359059333801,0.9051951169967651,0.869021475315094,0.853898823261261,0.8143168687820435,0.8756752610206604,0.8677375316619873,0.8032522201538086,3.6462361812591553,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_a23_ha_trimer_3lig/boltz_results_california_h5_a23_ha_trimer_3lig/predictions/california_h5_a23_ha_trimer_3lig/california_h5_a23_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_a23_ha_trimer_3lig/boltz_results_california_h5_a23_ha_trimer_3lig/predictions/california_h5_a23_ha_trimer_3lig/confidence_california_h5_a23_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,california_h5_a26_ha_trimer_3lig,california_h5_a26_ha_trimer_3lig,HA trimer + 3 ligands,H5,1485,1235,1242,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_a26_ha_trimer_3lig/boltz_results_california_h5_a26_ha_trimer_3lig/msa/california_h5_a26_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.9008297324180603,0.9102429151535034,0.8769501447677612,0.8631765842437744,0.8524109721183777,0.8817237019538879,0.8753756284713745,0.6911184787750244,2.5344505310058594,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_a26_ha_trimer_3lig/boltz_results_california_h5_a26_ha_trimer_3lig/predictions/california_h5_a26_ha_trimer_3lig/california_h5_a26_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_a26_ha_trimer_3lig/boltz_results_california_h5_a26_ha_trimer_3lig/predictions/california_h5_a26_ha_trimer_3lig/confidence_california_h5_a26_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,california_h5_ngc_ha_trimer_3lig,california_h5_ngc_ha_trimer_3lig,HA trimer + 3 ligands,H5,1485,1235,1242,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_ngc_ha_trimer_3lig/boltz_results_california_h5_ngc_ha_trimer_3lig/msa/california_h5_ngc_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.9086117744445801,0.921013355255127,0.8703223466873169,0.8590053915977478,0.8958906531333923,0.8654258847236633,0.9130004644393921,0.6374384760856628,2.0578038692474365,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_ngc_ha_trimer_3lig/boltz_results_california_h5_ngc_ha_trimer_3lig/predictions/california_h5_ngc_ha_trimer_3lig/california_h5_ngc_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_ngc_ha_trimer_3lig/boltz_results_california_h5_ngc_ha_trimer_3lig/predictions/california_h5_ngc_ha_trimer_3lig/confidence_california_h5_ngc_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,california_h5_sia_ha_trimer_3lig,california_h5_sia_ha_trimer_3lig,HA trimer + 3 ligands,H5,1485,1235,1242,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_sia_ha_trimer_3lig/boltz_results_california_h5_sia_ha_trimer_3lig/msa/california_h5_sia_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.9093711972236633,0.9191767573356628,0.8802034258842468,0.8701488971710205,0.9246423244476318,0.8749039173126221,0.9195521473884583,0.5687457919120789,1.5084686279296875,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_sia_ha_trimer_3lig/boltz_results_california_h5_sia_ha_trimer_3lig/predictions/california_h5_sia_ha_trimer_3lig/california_h5_sia_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/california_h5_sia_ha_trimer_3lig/boltz_results_california_h5_sia_ha_trimer_3lig/predictions/california_h5_sia_ha_trimer_3lig/confidence_california_h5_sia_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,duck_bavaria_h1_a23_ha_trimer_3lig,duck_bavaria_h1_a23_ha_trimer_3lig,HA trimer + 3 ligands,H1,1506,1227,1234,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_a23_ha_trimer_3lig/boltz_results_duck_bavaria_h1_a23_ha_trimer_3lig/msa/duck_bavaria_h1_a23_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.9078467488288879,0.9088320136070251,0.91358482837677,0.9039056301116943,0.8759448528289795,0.9179976582527161,0.8731759786605835,0.6150222420692444,2.537917375564575,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_a23_ha_trimer_3lig/boltz_results_duck_bavaria_h1_a23_ha_trimer_3lig/predictions/duck_bavaria_h1_a23_ha_trimer_3lig/duck_bavaria_h1_a23_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_a23_ha_trimer_3lig/boltz_results_duck_bavaria_h1_a23_ha_trimer_3lig/predictions/duck_bavaria_h1_a23_ha_trimer_3lig/confidence_duck_bavaria_h1_a23_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,duck_bavaria_h1_a26_ha_trimer_3lig,duck_bavaria_h1_a26_ha_trimer_3lig,HA trimer + 3 ligands,H1,1506,1227,1234,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_a26_ha_trimer_3lig/boltz_results_duck_bavaria_h1_a26_ha_trimer_3lig/msa/duck_bavaria_h1_a26_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.898664653301239,0.9041146636009216,0.8889480233192444,0.8768647313117981,0.8389371037483215,0.8943411111831665,0.8639581203460693,0.7027726173400879,2.774001359939575,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_a26_ha_trimer_3lig/boltz_results_duck_bavaria_h1_a26_ha_trimer_3lig/predictions/duck_bavaria_h1_a26_ha_trimer_3lig/duck_bavaria_h1_a26_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_a26_ha_trimer_3lig/boltz_results_duck_bavaria_h1_a26_ha_trimer_3lig/predictions/duck_bavaria_h1_a26_ha_trimer_3lig/confidence_duck_bavaria_h1_a26_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,duck_bavaria_h1_ngc_ha_trimer_3lig,duck_bavaria_h1_ngc_ha_trimer_3lig,HA trimer + 3 ligands,H1,1506,1227,1234,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_ngc_ha_trimer_3lig/boltz_results_duck_bavaria_h1_ngc_ha_trimer_3lig/msa/duck_bavaria_h1_ngc_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.914606511592865,0.9197503924369812,0.9027287364006042,0.8940309882164001,0.8735272884368896,0.9004308581352234,0.9088150858879089,0.596746563911438,2.3198719024658203,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_ngc_ha_trimer_3lig/boltz_results_duck_bavaria_h1_ngc_ha_trimer_3lig/predictions/duck_bavaria_h1_ngc_ha_trimer_3lig/duck_bavaria_h1_ngc_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_ngc_ha_trimer_3lig/boltz_results_duck_bavaria_h1_ngc_ha_trimer_3lig/predictions/duck_bavaria_h1_ngc_ha_trimer_3lig/confidence_duck_bavaria_h1_ngc_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,duck_bavaria_h1_sia_ha_trimer_3lig,duck_bavaria_h1_sia_ha_trimer_3lig,HA trimer + 3 ligands,H1,1506,1227,1234,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_sia_ha_trimer_3lig/boltz_results_duck_bavaria_h1_sia_ha_trimer_3lig/msa/duck_bavaria_h1_sia_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.9092548489570618,0.9158250093460083,0.8909909725189209,0.8829742074012756,0.8984479308128357,0.8876649141311646,0.9059871435165405,0.5897963643074036,1.9313015937805176,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_sia_ha_trimer_3lig/boltz_results_duck_bavaria_h1_sia_ha_trimer_3lig/predictions/duck_bavaria_h1_sia_ha_trimer_3lig/duck_bavaria_h1_sia_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/duck_bavaria_h1_sia_ha_trimer_3lig/boltz_results_duck_bavaria_h1_sia_ha_trimer_3lig/predictions/duck_bavaria_h1_sia_ha_trimer_3lig/confidence_duck_bavaria_h1_sia_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
Flu HA trimer ligand screen,flu_trimer_ligand_experiments,memphis_h1_a23_ha_trimer_3lig,memphis_h1_a23_ha_trimer_3lig,HA trimer + 3 ligands,H1,1506,1224,1231,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/memphis_h1_a23_ha_trimer_3lig/boltz_results_memphis_h1_a23_ha_trimer_3lig/msa/memphis_h1_a23_ha_trimer_3lig_0.csv,ha_trimer_3lig_s40_n1_p1_r3,40,1,1,3,,,0,ok,0.9064909219741821,0.9148730635643005,0.8846522569656372,0.8729624152183533,0.8293599486351013,0.8885259628295898,0.8865885138511658,0.7446752786636353,3.29463529586792,,,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/memphis_h1_a23_ha_trimer_3lig/boltz_results_memphis_h1_a23_ha_trimer_3lig/predictions/memphis_h1_a23_ha_trimer_3lig/memphis_h1_a23_ha_trimer_3lig_model_0.cif,flu_trimer_ligand_experiments/runs/ha_trimer_3lig_s40_n1_p1_r3/memphis_h1_a23_ha_trimer_3lig/boltz_results_memphis_h1_a23_ha_trimer_3lig/predictions/memphis_h1_a23_ha_trimer_3lig/confidence_memphis_h1_a23_ha_trimer_3lig_model_0.json,,Boltz affinity head is not run because it rejects multi-copy affinity ligands.
